가드닝	생활 원예
가드레일	보호 난간
가든파티	연회, 마당 연회, 뜰 잔치
가스 마스크	방독면
가십거리	입방아거리
가이드 팁	안내원 봉사료, 여행 안내원 봉사료
가죽 패치	가죽 조각
갈라 쇼	뒤풀이 공연
개런티	출연료, 보증
갤러리 북	전시물 안내서, 전시물 안내책
갭 투자	시세 차익 투자
거버넌스	민관 협력, 협치, 행정
게놈	유전체
게이미피케이션	게임화
게이지	계기, 측정기, 성능
게이트 키퍼	생명 지킴이, 자살 방지 도우미
게이트웨이	관문
게임 체인저	국면 전환자, 국면 전환 요소
게임 퍼블리셔	배급사, 게임 배급사
게임메이커	주도 선수, 핵심 인물
경제 라인	경제 책임진
경제 벨트	경제 지대, 경제 띠
골 게터	주득점 선수, 골잡이
골드러시	① 노다지 열풍 ② 금메달 행진, 금메달 바람
골든 블록	금싸라기 동네
골든 시드	황금 종자, 우량 종자 산업
골든 위크	황금 주간
골든 크로스	강세 전환 지표
골든트라이앵글	① 마약 대량 재배지 ② 삼각 거점
공유 오피스	공유 사무실
관광 벨트	관광지, 관광 지대
구리스	윤활유
구호 키트	구호 도구, 구호 도구 모음, 구호 도구 꾸러미, 구호 상자
국제 옵서버	원양 어선 감시 관찰자
굿 다운로더	합법 내려받기
굿바이 히트	끝내기, 끝내기 안타
굿즈	팬 상품
규제 샌드박스	규제 유예, 규제 유예 제도
규제 프리 존	규제 완화 지역, 규제 대폭 완화 지역, 규제 자유 구역, 규제 청정 지역, 무규제 지역
그라운드 제로	대재앙 현장, 911테러 현장
그랜드 딜	통큰 협상, 대규모 협상, 대타협
그랜드 바겐	일괄 타결, 대타협
그랜드 세일	대규모 할인
그랜드 슬램	① 4대 주요 대회 우승, 4대 대회 석권, 세계 4대 대회 석권 ② 만루 홈런
그랜드 플랜	큰 계획, 대규모 계획
그러데이션	바림, 농담법
그레이존	회색 지대, 불투명 지역
그로테스크	기괴한, 터무니없는
그룹 멘토	집단 지도
그룹 투어	단체 관광
그룹웨어	공동 작업 전산망, 기업 전산망
그룹홈	자활 꿈터, 공동생활 가정
그리드	격자, 망
그리드 컴퓨팅	컴퓨터 연계 활용
그린 ICT	친환경 정보 통신 기술
그린 네트워크	생태 보존 구역, 녹지 연결망, 초록 띠
그린 라이트	긍정 신호, 초록불
그린 레시피	친환경 조리법
그린 루프	옥상 정원
그린 리모델링	친환경 새 단장
그린 바이오	친환경 생명 공학
그린 빌리지	친환경 마을
그린 시티	친환경 도시
그린 오션	친환경 시장, 친환경 산업, 친환경 전략
그린 인프라	친환경 기반 시설, 녹색 기반 시설
그린 카	친환경 차
그린 캠퍼스	친환경 대학, 녹색 교정
그린 파킹	친환경 주차 정책
그린 푸드 존	어린이 식품 안전 구역
그린슈머	친환경 소비자
그립	손잡이, 손잡이 쥐기, 손잡이 쥐기법
글램핑	고급 야영, 고급 캠핑
글로벌 네트워크	국제 협력망
글로벌 리더	세계적 지도자, 국제적 지도자
글로벌 몰	세계적 쇼핑몰
글로벌 스탠더드	국제 표준, 국제 기준
글로벌 캠퍼스	국제 대학
글로벌 트렌드	세계적 흐름
글로벌 파트너십	국제 동반 관계, 국제적 동반 관계
글로벌 펀드	국외 증권 포함 기금
글로벌 핀테크	국제 금융 기술
글로벌 허브	국제 중심, 세계 중심
글로벌리즘	세계 통합주의, 세계화주의
글로컬라이제이션	세방화(세계화+지방화), 세방화, 세계화지방화
나노 테크	나노 기술
나노 팹	나노 기술 핵심 연구 시설
나이트 게임	야간 경기
난민 포비아	난민 공포증
난코스	험한 길
내러티브	줄거리, 서사, 서사물, 서사체
내셔널 트러스트	국민 신탁
내추럴 컬러	자연색
내추럴 톤	자연색, 자연 색조
내추럴리즘	자연주의
넘버 플레이트	번호판
넘버링	번호 붙이기, 번호 매기기, 번호기
넘버원 브랜드	으뜸 상표
넘버원 파트너	으뜸 협력사, 으뜸 협력자
넛지	주의 환기, 부드러운 권유
네거티브	부정적인, 소극적인, 흠집 내기
네거티브 규제	최소 규제, 사후 규제, 우선 허용 사후 규제
네거티브 존	사후 규제 구역
네고	협상, 가격 협상
네오클래시시즘	신고전주의
네오클래식	신고전적
네오파시즘	신파시즘
네이미스트	작명가, 이름 설계사
네이밍	작명가, 이름 설계사
네임 밸류	이름값, 지명도
네트워킹	관계망, 연결망, 연계망, 교류
네트워킹 데이	만남의 날, 교류의 날
네티켓	누리꾼 예절
노 개런티	무보수, 무료
노 리턴	① 무수익 ② 반품 불가
노 옵션	선택 없는, 선택 관광 없는, 무선택
노 카운트	무효
노딜	합의 없는, 결렬, 합의 결렬
노르딕	북유럽, 북유럽형
노마드	유목민
노미네이트	후보 지명
노믹스	경제 정책
노블레스 오블리주	지도층 의무, 지도층 의무 실천
노쇼	예약 부도
노스모킹	금연
노스탤지어	향수, 향수병
노이즈	잡음, 소음
노이즈 마케팅	구설 홍보, 구설수 홍보
노이즈 스크린	소음 방지막
노키즈존	어린이 제한, 어린이 제한 공간
노파킹	주차 금지
